frame cameraID K[0,0] K[1,1] K[0,2] K[1,2]
0 0 702.403 702.403 632.471 353.683
0 1 639.099 639.099 586.787 344.058
1 0 702.403 702.403 632.471 353.683
1 1 639.099 639.099 586.787 344.058
2 0 702.403 702.403 632.471 353.683
2 1 639.099 639.099 586.787 344.058
3 0 702.403 702.403 632.471 353.683
3 1 639.099 639.099 586.787 344.058
4 0 702.403 702.403 632.471 353.683
4 1 639.099 639.099 586.787 344.058
5 0 702.403 702.403 632.471 353.683
5 1 639.099 639.099 586.787 344.058
6 0 702.403 702.403 632.471 353.683
6 1 639.099 639.099 586.787 344.058
